"","names","Freq"
"823","Madeline Brandeis",9
"824","Marcel Schwob",9
"825","Martin Luther",9
"826","Mary Baker Eddy",9
"827","Mary Elizabeth Braddon",9
"828","Mary Louisa Molesworth",9
"829","Mathilda Roos",9
"830","Max O'Rell",9
"831","Max Pemberton",9
"832","Maxim Gorky",9
"833","May Agnes Fleming",9
"834","Michael Shaara",9
"835","Morley Roberts",9
"836","Natalie Sumner Lincoln",9
"837","Neil Munro",9
"838","Orison Swett Marden",9
"839","P. G. Wodehouse",9
"840","Paul Féval",9
"841","Philip K. Dick",9
"842","Pietro Giannone",9
"843","Robert Sydney Bowen",9
"844","Robert Walser",9
"845","Rog Phillips",9
"846","Russell H. Conwell",9
"847","Ruth Plumly Thompson",9
"848","Samuel Adams Drake",9
"849","Sven Hedin",9
"850","Temple Bailey",9
"851","Thomas Dixon",9
"852","Virgil",9
"853","W. Clark Russell",9
"854","Waldemar Bonsels",9
"855","Walt Whitman",9
"856","William Howitt",9
"857","William Makepeace Thackeray",9
"858","William O. Stoddard",9
"859","William Pitt Scargill",9
"860","Winthrop Packard",9
"861","Ada Cambridge",8
"862","Agatha Christie",8
"863","Alessandro Manzoni",8
"864","Alexander Maclaren",8
"865","Alexander von Humboldt",8
"866","Alexandros Papadiamantis",8
"867","Alfred Assollant",8
"868","Alphonse Karr",8
"869","Andrew Murray",8
"870","Anni Swan",8
"871","Arthur Colton",8
"872","Arthur Hayden",8
"873","August Blanche",8
"874","Auguste Comte",8
"875","Author:",8
"876","Baroness Emmuska Orczy",8
"877","Baroness Orczy",8
"878","Bayard Taylor",8
"879","Bliss Carman",8
"880","Booth Tarkington",8
"881","Brander Matthews",8
"882","Camille Flammarion",8
"883","Charles Baudelaire",8
"884","Charles Godfrey Leland",8
"885","Charles V. De Vet",8
"886","Dane Coolidge",8
"887","Dave Dryfoos",8
"888","Dorothy M. Richardson",8
"889","E. Nesbit",8
"890","Edgar Thurston",8
"891","Edmondo de Amicis",8
"892","Edward Carpenter",8
"893","Edward Lear",8
"894","Elijah Kellogg",8
"895","Elizabeth F. Guptill",8
"896","Emil Lassinen",8
"897","Emile Erckmann",8
"898","Emma Marshall",8
"899","Enos A. Mills",8
"900","Ernest Ingersoll",8
"901","Eugène Sue",8
"902","Ezra Pound",8
"903","F. Omelka",8
"904","Fjodor Michailowitsch Dostojewski",8
"905","Florence L. Barclay",8
"906","Frances Peard",8
"907","Francis Rolt-Wheeler",8
"908","François Guizot",8
"909","Francois Pierre Guillaume Guizot",8
"910","Frank Fox",8
"911","Frank H. Spearman",8
"912","Frigyes Karinthy",8
"913","Fyodor Dostoyevsky",8
"914","Geoffrey Chaucer",8
"915","Georg Ebers",8
"916","George Ade",8
"917","George R. Sims",8
"918","Gertrude Franklin Horn Atherton",8
"919","Giambattista Della Porta",8
"920","Gilbert Murray",8
"921","Grenville Kleiser",8
"922","Gustaf af Geijerstam",8
"923","H. Bedford-Jones",8
"924","Hannah More",8
"925","Harold Brighouse",8
"926","Harold Leland Goodwin",8
"927","Harry Gordon",8
"928","Harry Graham",8
"929","Harry Leon Wilson",8
"930","Heinrich Zschokke",8
"931","Helen Hunt Jackson",8
"932","Henry R. Schoolcraft",8
"933","Henry Rowe Schoolcraft",8
"934","Horace Annesley Vachell",8
"935","Hubert Howe Bancroft",8
"936","J. C. Snaith",8
"937","J. Fenimore Cooper",8
"938","Jalmari Kara",8
"939","Jane L. Stewart",8
"940","Jean Lorrain",8
"941","John Ayrton Paris",8
"942","John Breck",8
"943","John Henry Goldfrap",8
"944","John Leech",8
"945","John Oxenham",8
"946","K. J. Gummerus",8
"947","Katharine Pyle",8
"948","Kristofer Janson",8
"949","Kurt Matull",8
"950","Louis Creswicke",8
"951","Louis Figuier",8
"952","Lucy Foster Madison",8
"953","Maila Talvio",8
"954","Maria Jotuni",8
"955","Martti Wuori",8
